UrlID,Url,Title,Matched segm,Matched Option,All options,Found,Attriubte
3016542,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft 2 singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016543,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,singlfold ft 3,singlfold ft 3,3 Foot,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Ramp Sizes
3016543,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,singlfold ft 3,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016544,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft singlfold 4,ft singlfold 4,Ramp Sizes,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Size
3016544,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft singlfold 4,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016545,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,5 ft singlfold,5 ft singlfold,5 Foot,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Size
3016545,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,5 ft singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016546,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft singlfold 6,ft singlfold 6,Ramp Sizes,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Size
3016546,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft singlfold 6,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016592,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft singlfold 7,ft singlfold 7,Ramp Sizes,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Size
3016592,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,ft singlfold 7,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3016641,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,8 ft singlfold,8 ft singlfold,8 Foot,"['Ramp Sizes', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot', '7 Foot', '8 Foot']",TRUE,Size
3016641,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Ramp_p_200.html,8 ft singlfold,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3019512,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,in gf 29,in gf 29,29” L x 29” W,"['Ramp Sizes', '29” L x 29” W', '34.75” L x 31” W', '50.5” L x 30” W', '66.25” L x 30” W', '81.75” L x 30” W']",TRUE,Size
3019512,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,in gf 29,single_case,Single_case,Carry Bag,out of stock or don't care,Optional Carry Bag
3019515,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,in gf 35,N/A,N/A,"['Ramp Sizes', '29” L x 29” W', '34.75” L x 31” W', '50.5” L x 30” W', '66.25” L x 30” W', '81.75” L x 30” W']",FALSE,Size
3019515,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,in gf 35,single_case,Single_case,Carry Bag,out of stock or don't care,Optional Carry Bag
3019517,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,51 in gf,N/A,N/A,"['Ramp Sizes', '29” L x 29” W', '34.75” L x 31” W', '50.5” L x 30” W', '66.25” L x 30” W', '81.75” L x 30” W']",FALSE,Size
3019517,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,51 in gf,single_case,Single_case,Carry Bag,out of stock or don't care,Optional Carry Bag
3019524,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,67 in gf,N/A,N/A,"['Ramp Sizes', '29” L x 29” W', '34.75” L x 31” W', '50.5” L x 30” W', '66.25” L x 30” W', '81.75” L x 30” W']",FALSE,Size
3019524,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,67 in gf,single_case,Single_case,Carry Bag,out of stock or don't care,Optional Carry Bag
3019526,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,82 in gf,N/A,N/A,"['Ramp Sizes', '29” L x 29” W', '34.75” L x 31” W', '50.5” L x 30” W', '66.25” L x 30” W', '81.75” L x 30” W']",FALSE,Size
3019526,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-Graphite-Fiber-Wheelchair-Ramp_p_4272.html,82 in gf,single_case,Single_case,Carry Bag,out of stock or don't care,Optional Carry Bag
3166848,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft singlfold 6,ft singlfold 6,Ordering Options,"['Ordering Options', '2 Foot', '3 Foot', '4 Foot', '5 Foot', '6 Foot']",TRUE,Type
3166848,http://www.indemedical.com/EZ-Access-Suitcase-Singlefold-AS-Ramp_p_198.html,ft singlfold 6,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3170429,https://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase 5 ft,suitcase 5 ft,5 Foot,"['Ramp Sizes', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '10 Foot']",TRUE,Size
3170429,https://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase 5 ft,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3170439,https://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase ft 6,suitcase ft 6,6 Foot,"['Ramp Sizes', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '10 Foot']",TRUE,Size
3170439,https://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase ft 6,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3170451,http://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase ft 7,suitcase ft 7,7 Foot,"['Ramp Sizes', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '10 Foot']",TRUE,Size
3170451,http://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase ft 7,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3170456,http://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase ft 8,suitcase ft 8,8 Foot,"['Ramp Sizes', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '10 Foot']",TRUE,Size
3170456,http://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase ft 8,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3170465,http://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase 10 ft,suitcase 10 ft,10 Foot,"['Ramp Sizes', '5 Foot', '6 Foot', '7 Foot', '8 Foot', '10 Foot']",TRUE,Size
3170465,http://www.indemedical.com/EZ-Access-Trifold-AS-Wheelchair-Ramp_p_205.html,suitcase 10 ft,single_case,Single_case,Top Lip Extension (pair),out of stock or don't care,Optional
3184261,http://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Ramp_p_3775.html,36 in,N/A,N/A,"['Ordering Options', '12” Threshold', '24 Threshold', '36” Threshold']",FALSE,Type
3213411,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 6,N/A,N/A,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",FALSE,Type
3213467,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 5,N/A,N/A,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",FALSE,Type
3213504,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 4,N/A,N/A,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",FALSE,Type
3213509,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 3,N/A,N/A,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",FALSE,Type
3213529,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 2,N/A,N/A,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",FALSE,Type
3213534,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 1.5,in 1.5,1.5” Threshold,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",TRUE,Type
3213540,http://www.indemedical.com/EZ-Access-Transitions-Modular-Entry-Ramp_p_3773.html,in 1,N/A,N/A,"['Ordering Options', '1” Threshold', '1.5” Threshold', '2” Threshold', '3” Threshold', '4” Threshold', '5” Threshold', '6” Threshold']",FALSE,Type
3244131,http://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Plate_p_3793.html,in 8,N/A,N/A,"['Ordering Options:', '8 - Each', '10 - Each', '12 - Each']",FALSE,Type
3244192,http://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Plate_p_3793.html,in 10,in 10,10 - Each,"['Ordering Options:', '8 - Each', '10 - Each', '12 - Each']",TRUE,Type
3422756,http://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Ramp_p_3775.html,24 in,24 in,24 Threshold,"['Ordering Options', '12” Threshold', '24 Threshold', '36” Threshold']",TRUE,Type
3541219,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in 1.5,in 1.5,1.5” Threshold 1.5” Threshold,"['1.5” Threshold 1.5” Threshold', '2.5 Threshold 2.5 Threshold']",TRUE,Size
3541219,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in 1.5,N/A,N/A,"['Black Black', 'Grey Grey', 'Brown Brown']",FALSE,Color
3541230,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in 2.5,in 2.5,2.5 Threshold 2.5 Threshold,"['1.5” Threshold 1.5” Threshold', '2.5 Threshold 2.5 Threshold']",TRUE,Size
3541230,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in 2.5,N/A,N/A,"['Black Black', 'Grey Grey', 'Brown Brown']",FALSE,Color
3541952,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,brown in 1.5 hazelnut,brown in 1.5 hazelnut,1.5” Threshold 1.5” Threshold,"['1.5” Threshold 1.5” Threshold', '2.5 Threshold 2.5 Threshold']",TRUE,Size
3541952,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,brown in 1.5 hazelnut,brown in 1.5 hazelnut,Brown Brown,"['Black Black', 'Grey Grey', 'Brown Brown']",TRUE,Color
3541955,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,brown in 2.5 hazelnut,brown in 2.5 hazelnut,2.5 Threshold 2.5 Threshold,"['1.5” Threshold 1.5” Threshold', '2.5 Threshold 2.5 Threshold']",TRUE,Size
3541955,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,brown in 2.5 hazelnut,brown in 2.5 hazelnut,Brown Brown,"['Black Black', 'Grey Grey', 'Brown Brown']",TRUE,Color
3541956,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in grey storm 1.5,in grey storm 1.5,1.5” Threshold 1.5” Threshold,"['1.5” Threshold 1.5” Threshold', '2.5 Threshold 2.5 Threshold']",TRUE,Size
3541956,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in grey storm 1.5,in grey storm 1.5,Grey Grey,"['Black Black', 'Grey Grey', 'Brown Brown']",TRUE,Color
3541957,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in grey storm 2.5,in grey storm 2.5,2.5 Threshold 2.5 Threshold,"['1.5” Threshold 1.5” Threshold', '2.5 Threshold 2.5 Threshold']",TRUE,Size
3541957,https://www.indemedical.com/EZ-Access-Transitions-Angled-Entry-Mat_p_3774.html,in grey storm 2.5,in grey storm 2.5,Grey Grey,"['Black Black', 'Grey Grey', 'Brown Brown']",TRUE,Color
3555878,https://www.indemedical.com/Stander-CouchCane-with-Organizer-Pouch_p_2187.html,cane couch,single_case,Single_case,Swivel Tray,out of stock or don't care,Optional Accessories
3564186,https://www.indemedical.com/30-Pivoting-Safety-Bed-Rail_p_483.html,rai padded pouch with,rai padded pouch with,With Padded Pouch With Padded Pouch,"['Without Padded Pouch Without Padded Pouch', 'With Padded Pouch With Padded Pouch']",TRUE,Type
3564189,https://www.indemedical.com/30-Pivoting-Safety-Bed-Rail_p_483.html,,N/A,N/A,"['Without Padded Pouch Without Padded Pouch', 'With Padded Pouch With Padded Pouch']",FALSE,Type
